two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('half', 'a')",862,2,0.008034374446588187,3.960866637620311e-05,864
"('to', 'pay')",845,19,0.007875923906458257,0.0003762823305739296,864
"('enter', 'us')",858,2,0.007997091966557615,3.960866637620311e-05,860
"('us', 'this')",858,2,0.007997091966557615,3.960866637620311e-05,860
"('from', 'happening')",859,1,0.008006412586565259,1.9804333188101555e-05,860
"('million', 'illegal')",858,1,0.007997091966557615,1.9804333188101555e-05,859
"('aliens', 'projected')",858,1,0.007997091966557615,1.9804333188101555e-05,859
"('potentially', 'half')",856,1,0.00797845072654233,1.9804333188101555e-05,857
"('the', 'krassensteins')",853,1,0.007950488866519402,1.9804333188101555e-05,854
"('a', 'ban')",848,5,0.007903885766481187,9.902166594050779e-05,853
"('deactivation', 'not')",851,1,0.007931847626504115,1.9804333188101555e-05,852
"('from', 'twitter')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('twitter', 'looks')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('krassensteins', 'have')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('disappeared', 'from')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('have', 'disappeared')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('a', 'deactivation')",848,1,0.007903885766481187,1.9804333188101555e-05,849
"('trump', 'admin')",76,766,0.000708367120580861,0.015170119222085792,842
"('do', 'we')",825,17,0.007689511506305399,0.00033667366419772645,842
"('able', 'to')",817,20,0.0076149465462442565,0.00039608666376203115,837
"('how', 'do')",824,13,0.0076801908862977565,0.00025745633144532023,837
"('google', 'exec')",812,1,0.007568343446206042,1.9804333188101555e-05,813
"('trumps', 'election')",807,2,0.007521740346167827,3.960866637620311e-05,809
"('prevent', 'it')",808,1,0.00753106096617547,1.9804333188101555e-05,809
"('we', 'prevent')",808,1,0.00753106096617547,1.9804333188101555e-05,809
"('happening', 'again')",807,1,0.007521740346167827,1.9804333188101555e-05,808
